title,make,model,year,condition,transmission,price
Mercedes-Benz C300 2017 Red,Mercedes-Benz,C300,2017,foreign used,automatic,"₦ 19,500,000"
Land Rover Range Rover 2015 Black,Land,Rover Range,2015,local used,automatic,"₦ 35,000,000"
Toyota RAV4 2022 Brown,Toyota,RAV4,2022,foreign used,automatic,"₦ 36,300,000"
Toyota Highlander Limited 2010 White,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 15,000,000"
Toyota Corolla 2015 White,Toyota,Corolla,2015,foreign used,automatic,"₦ 15,700,000"
Toyota Corolla 1998 Red,Toyota,Corolla,1998,local used,automatic,"₦ 1,700,000"
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,local used,automatic,"₦ 25,000,000"
Toyota Camry 2015 White,Toyota,Camry,2015,local used,automatic,"₦ 17,000,000"
Toyota Land Cruiser Prado 2015 Black,Toyota,Land Cruiser,2015,local used,automatic,"₦ 35,000,000"
Toyota Camry 2004 Silver,Toyota,Camry,2004,local used,automatic,"₦ 4,300,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Black,Mercedes-Benz,GLE-Class AMG,2017,foreign used,automatic,"₦ 72,000,000"
Toyota Sienna CE 7 Passenger 2010 Brown,Toyota,Sienna CE,2010,foreign used,automatic,"₦ 9,500,000"
Toyota Camry XLE (2.5L 4cyl 8A) 2019 Black,Toyota,Camry XLE,2019,foreign used,automatic,"₦ 32,000,000"
Nissan Sentra SV 4dr Sedan (1.8L 4cyl CVT) 2014 Silver,Nissan,Sentra SV,2014,foreign used,automatic,"₦ 8,500,000"
Toyota Highlander XLE V6 4x4 (3.5L 6cyl 6A) 2016 Gray,Toyota,Highlander XLE,2016,foreign used,automatic,"₦ 27,000,000"
Hyundai Santa Fe 2016 White,Hyundai,Santa Fe,2016,foreign used,automatic,"₦ 13,500,000"
Honda CR-V 2015 Silver,Honda,CR-V,2015,foreign used,automatic,"₦ 19,500,000"
Hyundai Tucson SE FWD 2016 Burgundy,Hyundai,Tucson SE,2016,foreign used,automatic,"₦ 16,200,000"
