title,make,model,year,condition,transmission,price
Toyota Corolla 2003 Gold,Toyota,Corolla,2003,local used,automatic,"₦ 3,950,000"
Toyota RAV4 2010 Black,Toyota,RAV4,2010,local used,automatic,"₦ 6,750,000"
Lexus ES 350 FWD 2014 Red,Lexus,ES 350,2014,foreign used,automatic,"₦ 16,800,000"
Toyota RAV4 Adventure AWD 2020 Black,Toyota,RAV4 Adventure,2020,foreign used,automatic,"₦ 45,700,000"
Mercedes-Benz AMG GT 2022 White,Mercedes-Benz,AMG GT,2022,foreign used,automatic,"₦ 195,000,000"
Toyota Sienna 2012 White,Toyota,Sienna,2012,local used,automatic,"₦ 9,800,000"
Honda Accord 2018 Black,Honda,Accord,2018,local used,automatic,"₦ 18,950,000"
New Toyota Hilux 2024 Red,New,Toyota Hilux,2024,brand new,automatic,"₦ 125,000,000"
Volkswagen Beetle 1968 Blue,Volkswagen,Beetle,1968,local used,manual,"₦ 4,000,000"
Hyundai Palisade Limited 2023 White,Hyundai,Palisade Limited,2023,foreign used,automatic,"₦ 92,000,000"
Toyota Highlander Limited 2012 Black,Toyota,Highlander Limited,2012,local used,automatic,"₦ 14,000,000"
Honda Accord 2.0 i-VTEC Automatic 2009 Black,Honda,Accord 2,2009,local used,automatic,"₦ 4,300,000"
Toyota Tacoma TRD PRO V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A),,,,foreign used,automatic,"₦ 24,000,000"
Toyota Land Cruiser Prado 2017 Black,Toyota,Land Cruiser,2017,local used,automatic,"₦ 38,000,000"
Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2006 Red,Acura,MDX Touring,2006,local used,automatic,"₦ 2,520,000"
Dodge Caliber 2011 Black,Dodge,Caliber,2011,local used,,"₦ 2,950,000"
Toyota Tundra SR 5.7L V8 4x4 Double Cab 6.6 ft. box 145.7 in. WB 2016,Toyota,Tundra SR,2016,foreign used,,"₦ 44,000,000"
Toyota Land Cruiser Prado 2010 Silver,Toyota,Land Cruiser,2010,foreign used,automatic,"₦ 35,000,000"
Ford Edge 2011 Red,Ford,Edge,2011,foreign used,automatic,"₦ 8,900,000"
Nissan Pathfinder 2002 Silver,Nissan,Pathfinder,2002,local used,automatic,"₦ 2,950,000"
New Tesla Cybertruck 2024 Gray,New,Tesla Cybertruck,2024,brand new,automatic,"₦ 345,000,000"
Mercedes-Benz GLC-Class 2017 Brown,Mercedes-Benz,GLC-Class,2017,local used,automatic,"₦ 48,000,000"
Lexus RX 2017 White,Lexus,RX,2017,foreign used,automatic,"₦ 45,000,000"
Toyota Land Cruiser Prado 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 27,000,000"
Toyota Land Cruiser 2023 Blue,Toyota,Land Cruiser,2023,local used,automatic,"₦ 130,000,000"
Toyota Hilux 2019 White,Toyota,Hilux,2019,local used,automatic,"₦ 46,500,000"
Honda Accord EX-L 4dr Sedan FWD (2.4L 4cyl 2A) 2013 Gray,Honda,Accord EX-L,2013,foreign used,automatic,"₦ 14,000,000"
Toyota Sienna 2000 Silver,Toyota,Sienna,2000,local used,automatic,"₦ 3,480,000"
Lexus RX 350 AWD 2008 Blue,Lexus,RX 350,2008,local used,automatic,"₦ 7,199,999"
Mercedes-Benz C300 Base AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 White,Mercedes-Benz,C300 Base,2015,foreign used,automatic,"₦ 19,500,000"
Toyota Venza V6 2010 Black,Toyota,Venza V6,2010,foreign used,automatic,"₦ 19,700,000"
Mercedes-Benz M Class ML 350 4Matic 2012 White,Mercedes-Benz,M Class,2012,local used,automatic,"₦ 18,000,000"
Toyota Camry XSE FWD (2.5L 4cyl 8AM) 2018 White,Toyota,Camry XSE,2018,foreign used,automatic,"₦ 31,500,000"
Toyota Camry 2008 Blue,Toyota,Camry,2008,local used,automatic,"₦ 3,990,000"
Hyundai Sonata 2015 Black,Hyundai,Sonata,2015,foreign used,automatic,"₦ 12,350,000"
Nissan X-Trail 2006 Silver,Nissan,X-Trail,2006,local used,automatic,"₦ 4,800,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 Red,Mercedes-Benz,GLE-Class AMG,2021,local used,automatic,"₦ 100,500,000"
Lexus LX 2022 Black,Lexus,LX,2022,foreign used,automatic,"₦ 208,000,000"
Mercedes-Benz GLK-Class 2015 Silver,Mercedes-Benz,GLK-Class,2015,foreign used,automatic,"₦ 18,200,000"
Mercedes-Benz C43 2023 White,Mercedes-Benz,C43,2023,foreign used,automatic,"₦ 120,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 Silver,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 46,500,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 Black,Mercedes-Benz,GLE-Class AMG,2021,foreign used,automatic,"₦ 120,000,000"
Mercedes-Benz GL-Class 2014 Black,Mercedes-Benz,GL-Class,2014,local used,automatic,"₦ 14,000,000"
Toyota Camry 2014 Gold,Toyota,Camry,2014,foreign used,automatic,"₦ 17,718,750"
Toyota Highlander 2013 Black,Toyota,Highlander,2013,foreign used,automatic,"₦ 19,250,000"
Lexus IS 250 2008 Silver,Lexus,IS 250,2008,local used,automatic,"₦ 6,250,000"
Mercedes-Benz A-Class 2020 Gray,Mercedes-Benz,A-Class,2020,foreign used,automatic,"₦ 26,000,000"
Mercedes-Benz GL-Class 2009 Silver,Mercedes-Benz,GL-Class,2009,local used,automatic,"₦ 6,850,000"
Toyota FJ Cruiser Base 4x4 2007 Black,Toyota,FJ Cruiser,2007,local used,automatic,"₦ 8,500,000"
Toyota Camry XLE 4dr Sedan (2.4L 4cyl 5A) 2007 Silver,Toyota,Camry XLE,2007,foreign used,automatic,"₦ 9,300,000"
Toyota Camry 2010 Green,Toyota,Camry,2010,foreign used,automatic,"₦ 10,500,000"
Nissan Murano S 2011 Gold,Nissan,Murano S,2011,local used,automatic,"₦ 6,880,000"
Acura RDX 2007 Gray,Acura,RDX,2007,local used,automatic,"₦ 5,600,000"
Rolls-Royce Cullinan 2022 White,Rolls-Royce,Cullinan,2022,foreign used,automatic,"₦ 699,999,999"
New Toyota Hilux 2024 White,New,Toyota Hilux,2024,brand new,automatic,"₦ 112,000,000"
Toyota C-HR 2017 Red,Toyota,C-HR,2017,foreign used,automatic,"₦ 25,000,000"
Toyota Corolla 2015 Silver,Toyota,Corolla,2015,local used,automatic,"₦ 9,550,000"
Honda CR-V 2012 Silver,Honda,CR-V,2012,local used,automatic,"₦ 8,500,000"
Lexus RX 2002 White,Lexus,RX,2002,local used,automatic,"₦ 4,150,000"
Toyota Camry 2004 Blue,Toyota,Camry,2004,local used,automatic,"₦ 3,440,000"
Toyota Sienna LE AWD 2005 Gold,Toyota,Sienna LE,2005,foreign used,automatic,"₦ 11,500,000"
Toyota Sienna XLE AWD 2005 Gold,Toyota,Sienna XLE,2005,foreign used,automatic,"₦ 12,500,000"
Honda Pilot 2013 Gray,Honda,Pilot,2013,foreign used,automatic,"₦ 11,500,000"
Toyota Sienna LE FWD 2006 Silver,Toyota,Sienna LE,2006,foreign used,automatic,"₦ 12,500,000"
Toyota Camry LE FWD 2020 White,Toyota,Camry LE,2020,foreign used,automatic,"₦ 20,000,000"
Mercedes-Benz GL-Class GL450 4MATIC 4dr SUV AWD (3.0L 6cyl Turbo 7A),,,,foreign used,automatic,"₦ 30,500,000"
Toyota Highlander Limited 2019 White,Toyota,Highlander Limited,2019,foreign used,automatic,"₦ 35,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2016 Red,Toyota,Corolla LE,2016,foreign used,automatic,"₦ 12,950,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6AM) 2007 Gold,Toyota,Camry XLE,2007,local used,automatic,"₦ 4,950,000"
Toyota Corolla 2018 Silver,Toyota,Corolla,2018,foreign used,automatic,"₦ 15,300,000"
Toyota Corolla SE 2020 Black,Toyota,Corolla SE,2020,foreign used,automatic,"₦ 24,300,000"
Mercedes-Benz M Class 2011 Black,Mercedes-Benz,M Class,2011,local used,automatic,"₦ 9,300,000"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2020 Gold,Mercedes-Benz,G-Class G,2020,local used,automatic,"₦ 236,000,000"
Toyota Land Cruiser LC300 2024 Black,Toyota,Land Cruiser,2024,foreign used,automatic,"₦ 145,000,000"
Mercedes-Benz GLE-Class 2024 Black,Mercedes-Benz,GLE-Class,2024,foreign used,automatic,"₦ 125,000,000"
Mercedes-Benz GLE-Class GLE 350 2017 White,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 36,000,000"
Mercedes-Benz GLC-Class 2017 Red,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 53,000,000"
Toyota Tundra 2024 Gray,Toyota,Tundra,2024,foreign used,automatic,"₦ 95,000,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2016 Gray,Mercedes-Benz,GLE-Class AMG,2016,local used,automatic,"₦ 63,000,000"
BMW M2 3.0 RWD 2016 White,BMW,M2 3,2016,foreign used,automatic,"₦ 35,000,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 17,600,000"
Lexus RX 350 F SPORT AWD 2024 White,Lexus,RX 350,2024,foreign used,automatic,"₦ 100,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 Gray,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 43,000,000"
Jetour X70 Plus 2025 Black,Jetour,X70 Plus,2025,foreign used,automatic,"₦ 37,000,000"
Toyota Hilux 2021 White,Toyota,Hilux,2021,foreign used,automatic,"₦ 79,000,000"
Volkswagen Golf 2000 Silver,Volkswagen,Golf,2000,local used,manual,"₦ 2,580,000"
Toyota Camry 2003 Silver,Toyota,Camry,2003,local used,automatic,"₦ 3,306,000"
Lexus RX 2008 Silver,Lexus,RX,2008,local used,automatic,"₦ 6,950,000"
New Toyota Camry 2025 Black,New,Toyota Camry,2025,brand new,automatic,"₦ 85,000,000"
Toyota Sienna 2008 Gold,Toyota,Sienna,2008,local used,automatic,"₦ 6,480,000"
Honda Civic 2017 White,Honda,Civic,2017,local used,automatic,"₦ 8,900,000"
Jeep Compass Latitude 4dr SUV 4WD (2.4L 4cyl 6A) 2014 Red,Jeep,Compass Latitude,2014,local used,automatic,"₦ 6,960,937"
Mercedes-Benz CLK 2009 Silver,Mercedes-Benz,CLK,2009,local used,automatic,"₦ 3,850,000"
Toyota Corolla Verso 1.6 2007 Black,Toyota,Corolla Verso,2007,foreign used,automatic,"₦ 11,000,000"
Toyota Avalon Limited 4dr Sedan (3.5L 6cyl 6A) 2014 Gray,Toyota,Avalon Limited,2014,foreign used,automatic,"₦ 18,800,000"
Mercedes-Benz CLA-Class CLA 250 Sedan 2019 Black,Mercedes-Benz,CLA-Class CLA,2019,foreign used,automatic,"₦ 18,000,000"
Honda Civic 2008 Gray,Honda,Civic,2008,local used,automatic,"₦ 4,700,000"
Toyota Highlander Platinum AWD 2020 White,Toyota,Highlander Platinum,2020,foreign used,automatic,"₦ 69,000,000"
Toyota Hilux 2021 Black,Toyota,Hilux,2021,local used,automatic,"₦ 68,000,000"
Ford Explorer Limited 4dr SUV (3.5L 6cyl 6A) 2014 Black,Ford,Explorer Limited,2014,local used,automatic,"₦ 6,950,000"
Lexus ES 350 2007 Black,Lexus,ES 350,2007,local used,automatic,"₦ 5,500,000"
Honda Accord 2004 Gold,Honda,Accord,2004,local used,automatic,"₦ 3,300,000"
Mercedes-Benz GLC-Class 2016 Blue,Mercedes-Benz,GLC-Class,2016,local used,automatic,"₦ 19,000,000"
Hyundai Santa Fe 2017 Gray,Hyundai,Santa Fe,2017,foreign used,automatic,"₦ 20,800,000"
Toyota Venza 2011 Green,Toyota,Venza,2011,foreign used,automatic,"₦ 15,950,000"
Toyota Corolla 2020 White,Toyota,Corolla,2020,local used,automatic,"₦ 17,850,000"
Jeep Gladiator 2021 Off white,Jeep,Gladiator,2021,foreign used,automatic,"₦ 69,000,000"
Mercedes-Benz GLE-Class 2016 Gray,Mercedes-Benz,GLE-Class,2016,local used,automatic,"₦ 34,500,000"
Dodge Challenger 2018 White,Dodge,Challenger,2018,local used,automatic,"₦ 19,500,000"
Mercedes-Benz GLE-Class 2016 White,Mercedes-Benz,GLE-Class,2016,local used,automatic,"₦ 35,000,000"
Hyundai Sonata SE Sedan FWD (2.4L 4cyl 6A) 2012 Gray,Hyundai,Sonata SE,2012,foreign used,automatic,"₦ 10,000,000"
Hyundai Santa Fe GLS 4dr SUV AWD (3.3L 6cyl 6A) 2014 Blue,Hyundai,Santa Fe,2014,foreign used,automatic,"₦ 17,000,000"
Hyundai Sonata GLS 4dr Sedan (2.4L 4cyl 6A) 2014 Black,Hyundai,Sonata GLS,2014,local used,automatic,"₦ 6,800,000"
Hyundai Santa Fe 2014 Green,Hyundai,Santa Fe,2014,foreign used,automatic,"₦ 16,800,000"
Nissan Rogue S 2009 White,Nissan,Rogue S,2009,local used,automatic,"₦ 3,950,000"
New Ferrari 488 GTB 2025 Red,New,Ferrari 488,2025,brand new,automatic,"₦ 175,000,000"
Honda Civic 2010 Red,Honda,Civic,2010,local used,automatic,"₦ 4,700,000"
ZX Auto Grand Tiger 2012 White,ZX,Auto Grand,2012,foreign used,manual,"₦ 18,000,000"
Mercedes-Benz C230 2004 Gray,Mercedes-Benz,C230,2004,local used,automatic,"₦ 3,800,000"
Land Rover Range Rover Vogue 2016 Black,Land,Rover Range,2016,local used,automatic,"₦ 23,800,000"
Mercedes-Benz GLE-Class 2020 Gray,Mercedes-Benz,GLE-Class,2020,local used,automatic,"₦ 58,000,000"
BMW X5 2015 Black,BMW,X5,2015,foreign used,automatic,"₦ 16,280,000"
Toyota Land Cruiser 2015 Black,Toyota,Land Cruiser,2015,local used,automatic,"₦ 53,000,000"
Toyota Camry SE w/Special Edition Pkg (2.5L 4cyl 6A) 2016 Red,Toyota,Camry SE,2016,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2021 White,Mercedes-Benz,GLE-Class GLE,2021,foreign used,automatic,"₦ 63,000,000"
Ford Edge SEL 4dr AWD (3.5L 6cyl 6A) 2008 Black,Ford,Edge SEL,2008,local used,automatic,"₦ 3,200,000"
Mercedes-Benz GLE-Class 2017 Blue,Mercedes-Benz,GLE-Class,2017,foreign used,automatic,"₦ 57,000,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 31,000,000"
Mercedes-Benz E350 2010 Gray,Mercedes-Benz,E350,2010,local used,automatic,"₦ 8,500,000"
Hyundai Elantra 2009 Green,Hyundai,Elantra,2009,local used,automatic,"₦ 3,990,000"
Lexus ES 2017 Gray,Lexus,ES,2017,foreign used,automatic,"₦ 27,000,000"
Toyota Corolla 2008 Black,Toyota,Corolla,2008,local used,automatic,"₦ 5,900,000"
Toyota RAV4 2006 Silver,Toyota,RAV4,2006,local used,automatic,"₦ 6,680,000"
Infiniti QX56 2012 Black,Infiniti,QX56,2012,local used,automatic,"₦ 18,500,000"
Lexus LX 2016 White,Lexus,LX,2016,foreign used,automatic,"₦ 119,000,000"
Mazda CX-7 2011 Purple,Mazda,CX-7,2011,local used,automatic,"₦ 3,950,000"
Honda Accord 2005 Silver,Honda,Accord,2005,local used,automatic,"₦ 3,480,000"
Toyota Highlander 2004 Gold,Toyota,Highlander,2004,local used,automatic,"₦ 4,880,000"
Rolls-Royce Cullinan Base 2021 White,Rolls-Royce,Cullinan Base,2021,foreign used,automatic,"₦ 760,000,000"
Mercedes-Benz G-Class G 63 AMG 2024 Blue,Mercedes-Benz,G-Class G,2024,foreign used,automatic,"₦ 385,000,000"
Mercedes-Benz S-Class S 550 2012 Black,Mercedes-Benz,S-Class S,2012,local used,automatic,"₦ 28,500,000"
Toyota Sienna LE 2008 Blue,Toyota,Sienna LE,2008,local used,automatic,"₦ 6,050,000"
Toyota Highlander 2005 White,Toyota,Highlander,2005,local used,automatic,"₦ 5,850,000"
Lexus RX 2018 Black,Lexus,RX,2018,foreign used,automatic,"₦ 41,500,000"
Toyota Hilux 2017 White,Toyota,Hilux,2017,local used,manual,"₦ 39,500,000"
Toyota Hilux 2012 White,Toyota,Hilux,2012,local used,manual,"₦ 16,500,000"
Mercedes-Benz C300 2009 White,Mercedes-Benz,C300,2009,foreign used,automatic,"₦ 15,000,000"
Mercedes-Benz GLK-Class 2011 White,Mercedes-Benz,GLK-Class,2011,foreign used,automatic,"₦ 20,000,000"
Toyota RAV4 XLE Premium 2026 Red,Toyota,RAV4 XLE,2026,foreign used,automatic,"₦ 63,000,000"
Toyota RAV4 XLE Premium 2025 Gray,Toyota,RAV4 XLE,2025,foreign used,automatic,"₦ 62,000,000"
Toyota Camry 2011 Gold,Toyota,Camry,2011,local used,automatic,"₦ 8,000,000"
Lexus RX 350 2010 Blue,Lexus,RX 350,2010,foreign used,automatic,"₦ 19,500,000"
Lexus IS 250 4WD 2015 Black,Lexus,IS 250,2015,foreign used,automatic,"₦ 18,500,000"
Hyundai Sonata 2012 Black,Hyundai,Sonata,2012,foreign used,automatic,"₦ 9,000,000"
New Lexus GX 2025 Black,New,Lexus GX,2025,brand new,automatic,"₦ 265,000,000"
Toyota Sienna 2005 Gold,Toyota,Sienna,2005,local used,automatic,"₦ 5,780,000"
Toyota Camry Automatic 1999 Silver,Toyota,Camry Automatic,1999,local used,automatic,"₦ 1,990,000"
Hyundai Sonata 2017 Silver,Hyundai,Sonata,2017,foreign used,automatic,"₦ 11,850,000"
Toyota Camry 2013 Gray,Toyota,Camry,2013,foreign used,automatic,"₦ 12,000,000"
Chevrolet Camaro 2015 Yellow,Chevrolet,Camaro,2015,foreign used,automatic,"₦ 27,500,000"
New Rolls-Royce Cullinan Black Badge 2024 Black,New,Rolls-Royce Cullinan,2024,brand new,automatic,"₦ 1,500,000,000"
BMW X5 2011 White,BMW,X5,2011,local used,automatic,"₦ 6,800,000"
Mercedes-Benz G-Class G63 AMG 4dr SUV 4WD (5.5L 8cyl Turbo 7A) 2014,Mercedes-Benz,G-Class G63,2014,local used,automatic,"₦ 63,000,000"
Toyota Hilux 2023 White,Toyota,Hilux,2023,local used,automatic,"₦ 48,000,000"
Toyota Hilux 2023 White,Toyota,Hilux,2023,foreign used,automatic,"₦ 59,000,000"
Toyota Highlander Platinum AWD 2024 Black,Toyota,Highlander Platinum,2024,foreign used,automatic,"₦ 135,000,000"
Dodge Challenger R/T 2011 Black,Dodge,Challenger R,2011,foreign used,automatic,"₦ 13,999,999"
Toyota Tundra 2025 Gray,Toyota,Tundra,2025,foreign used,,"₦ 175,000,000"
Hyundai Sonata 2016 Black,Hyundai,Sonata,2016,foreign used,automatic,"₦ 13,500,000"
Mercedes-Benz CLA-Class 2015 Black,Mercedes-Benz,CLA-Class,2015,foreign used,automatic,"₦ 16,999,999"
Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2013 Red,Hyundai,Sonata Limited,2013,foreign used,automatic,"₦ 7,599,999"
Mercedes-Benz C300 2012 Black,Mercedes-Benz,C300,2012,foreign used,automatic,"₦ 16,500,000"
Toyota Land Cruiser 2018 Gray,Toyota,Land Cruiser,2018,local used,automatic,"₦ 52,000,000"
Ford Edge SE 4dr AWD (2.0L 4cyl 6A) 2016 Red,Ford,Edge SE,2016,foreign used,automatic,"₦ 14,999,999"
Toyota Camry 2007 Silver,Toyota,Camry,2007,local used,automatic,"₦ 4,800,000"
Ford Edge SEL 4dr FWD 2017 Black,Ford,Edge SEL,2017,foreign used,automatic,"₦ 14,999,999"
Honda Element 2004 Green,Honda,Element,2004,local used,automatic,"₦ 4,400,000"
Mercedes-Benz GLE-Class 2022 Gray,Mercedes-Benz,GLE-Class,2022,foreign used,automatic,"₦ 169,000,000"
Toyota Land Cruiser 3.5 Petrol 4WD 2022 Yellow,Toyota,Land Cruiser,2022,local used,automatic,"₦ 165,000,000"
Toyota Highlander Limited 2021 Black,Toyota,Highlander Limited,2021,foreign used,automatic,"₦ 59,000,000"
Nissan Almera 2014 Black,Nissan,Almera,2014,local used,automatic,"₦ 4,400,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes-Benz,M Class,2014,local used,automatic,"₦ 16,999,999"
Mercedes-Benz GLE-Class GLE 350 2018 White,Mercedes-Benz,GLE-Class GLE,2018,foreign used,automatic,"₦ 31,900,000"
Lexus IS 250 2008 Gray,Lexus,IS 250,2008,foreign used,automatic,"₦ 11,300,000"
Hyundai Santa Fe 2013 Silver,Hyundai,Santa Fe,2013,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2019 White,Mercedes-Benz,G-Class G,2019,local used,automatic,"₦ 220,000,000"
Lexus RX 2011 Red,Lexus,RX,2011,foreign used,automatic,"₦ 19,000,000"
Audi Q5 2.0T Tech Premium AWD quattro 2018 Black,Audi,Q5 2,2018,foreign used,automatic,"₦ 45,000,000"
Mercedes-Benz C300 2016 Black,Mercedes-Benz,C300,2016,foreign used,automatic,"₦ 21,000,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2016 White,Mercedes-Benz,CLA-Class CLA,2016,foreign used,automatic,"₦ 15,999,999"
Acura ILX Base FWD (2.0L 4cyl 5A) 2015 White,Acura,ILX Base,2015,foreign used,automatic,"₦ 11,999,999"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 35,000,000"
Toyota Camry 2010 Silver,Toyota,Camry,2010,local used,automatic,"₦ 5,950,000"
Lexus IS 300 AWD 2016 Black,Lexus,IS 300,2016,foreign used,automatic,"₦ 20,999,999"
Ford Explorer 2013 Silver,Ford,Explorer,2013,local used,automatic,"₦ 11,000,000"
Toyota Hilux 2012 Gray,Toyota,Hilux,2012,local used,automatic,"₦ 20,000,000"
Mercedes-Benz GLE-Class GLE 400 4MATIC 2017 Silver,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 29,999,999"
Volvo XC90 2013 Black,Volvo,XC90,2013,foreign used,automatic,"₦ 13,000,000"
Lexus IS 250 2008 Silver,Lexus,IS 250,2008,foreign used,automatic,"₦ 9,999,999"
Hyundai Elantra 2016 Silver,Hyundai,Elantra,2016,foreign used,automatic,"₦ 13,500,000"
Mercedes-Benz GLE-Class GLE 350 2017 Red,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 24,999,999"
Mercedes-Benz GLK-Class 2012 Black,Mercedes-Benz,GLK-Class,2012,local used,automatic,"₦ 12,500,000"
Hyundai Sonata Sport 2.0T Sedan FWD (2.0L 4cyl 6A) 2017 Silver,Hyundai,Sonata Sport,2017,foreign used,automatic,"₦ 12,999,999"
Toyota Highlander 2021 Red,Toyota,Highlander,2021,local used,automatic,"₦ 43,000,000"
Dodge RAM 2013 White,Dodge,RAM,2013,local used,automatic,"₦ 15,500,000"
Ford Ranger Wildtrak 2014 Black,Ford,Ranger Wildtrak,2014,local used,automatic,"₦ 16,000,000"
Mercedes-Benz GLE-Class GLE 550 4MATIC 2017 Black,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 29,999,999"
Honda Accord Sport 4dr Sedan FWD (2.4L 4cyl 2A) 2016 Black,Honda,Accord Sport,2016,foreign used,automatic,"₦ 15,450,000"
Mercedes-Benz E350 Base 4dr Sedan RWD (3.5L 6cyl 7A) 2014 Brown,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 19,999,000"
Nissan X-Trail 2010 Black,Nissan,X-Trail,2010,local used,automatic,"₦ 5,870,000"
Dodge Caliber 1.8 L SE 2007 Red,Dodge,Caliber 1,2007,local used,automatic,"₦ 3,800,000"
Toyota Corolla 2010 Silver,Toyota,Corolla,2010,foreign used,automatic,"₦ 8,950,000"
Opel Zafira 2001,Opel,Zafira,2001,local used,automatic,"₦ 3,600,000"
Lexus IS 2008 Red,Lexus,IS,2008,local used,automatic,"₦ 8,000,000"
Lexus GX 2023 Silver,Lexus,GX,2023,foreign used,automatic,"₦ 116,000,000"
Mercedes-Benz GLC-Class 2016 Black,Mercedes-Benz,GLC-Class,2016,foreign used,automatic,"₦ 31,000,000"
Mercedes-Benz C43 4Matic Sedan AWD (3.0L V6 9AM) 2018 White,Mercedes-Benz,C43 4Matic,2018,foreign used,automatic,"₦ 60,000,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC AWD 2025 Black,Mercedes-Benz,GLE-Class GLE,2025,foreign used,automatic,"₦ 130,000,000"
New Lexus LX LX 600 2025 White,New,Lexus LX,2025,brand new,automatic,"₦ 320,000,000"
Honda Accord 2014 White,Honda,Accord,2014,foreign used,automatic,"₦ 13,500,000"
Lexus RX 2006 Black,Lexus,RX,2006,local used,automatic,"₦ 7,600,000"
Honda Civic 2008 Silver,Honda,Civic,2008,local used,automatic,"₦ 4,000,000"
Toyota Highlander Limited 2012 Gray,Toyota,Highlander Limited,2012,local used,automatic,"₦ 14,500,000"
Lexus IS 250 4WD 2014 Gray,Lexus,IS 250,2014,foreign used,automatic,"₦ 21,700,000"
Kia Soul 2013 White,Kia,Soul,2013,local used,automatic,"₦ 5,500,000"
Lexus RX 2017 White,Lexus,RX,2017,foreign used,automatic,"₦ 45,500,000"
New Toyota Land Cruiser 2026 Black,New,Toyota Land,2026,brand new,automatic,"₦ 120,000,000"
Acura MDX 2015 White,Acura,MDX,2015,foreign used,automatic,"₦ 20,900,000"
Toyota Corolla 2007 Black,Toyota,Corolla,2007,local used,automatic,"₦ 4,000,000"
Kia Morning 2012 Silver,Kia,Morning,2012,foreign used,automatic,"₦ 6,200,000"
Toyota Highlander SE 4x4 V6 (3.5L 6cyl 8A) 2018 Red,Toyota,Highlander SE,2018,foreign used,automatic,"₦ 36,000,000"
Acura ILX 2022 Silver,Acura,ILX,2022,foreign used,automatic,"₦ 35,000,000"
Nissan Altima 2019 Silver,Nissan,Altima,2019,local used,automatic,"₦ 17,950,000"
Mercedes-Benz GLE-Class 2016 Black,Mercedes-Benz,GLE-Class,2016,local used,automatic,"₦ 17,700,000"
Mercedes-Benz M Class ML 350 4Matic 2013 Gray,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 27,300,000"
Mercedes-Benz GLE-Class 2017 Black,Mercedes-Benz,GLE-Class,2017,foreign used,automatic,"₦ 57,000,000"
Lexus RX 350 FWD 2017 Blue,Lexus,RX 350,2017,foreign used,automatic,"₦ 39,000,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2024 Black,Mercedes-Benz,GLE-Class GLE,2024,foreign used,automatic,"₦ 103,000,000"
Ford Escape Titanium 4x4 2016 White,Ford,Escape Titanium,2016,foreign used,automatic,"₦ 13,450,000"
Toyota Corolla 2015 White,Toyota,Corolla,2015,foreign used,automatic,"₦ 14,900,000"
Mercedes-Benz E350 2022 Black,Mercedes-Benz,E350,2022,foreign used,automatic,"₦ 89,000,000"
Ford Explorer 2012 Black,Ford,Explorer,2012,local used,automatic,"₦ 9,900,000"
Volkswagen Golf 1999 Red,Volkswagen,Golf,1999,foreign used,automatic,"₦ 5,580,000"
Honda Pilot EX-L 4dr SUV 4WD (3.5L 6cyl 5A) 2016 Black,Honda,Pilot EX-L,2016,local used,automatic,"₦ 23,000,000"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2019 Gray,Mercedes-Benz,G-Class G,2019,local used,automatic,"₦ 245,000,000"
